epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,15280.8,0.94286,0.40041,1.00082,0.98259,0.95132,0.9747,0.71809,1.0411,0.36813,1.03252,0.001783,0.001783,0.001783
85,15469.2,0.93933,0.39729,1.00162,0.98442,0.94983,0.97579,0.72056,1.03952,0.36838,1.03269,0.001684,0.001684,0.001684
86,15656.9,0.94471,0.39698,1.00483,0.98352,0.94943,0.97401,0.71691,1.04031,0.36753,1.03401,0.001585,0.001585,0.001585
87,15845.1,0.93901,0.3944,0.99927,0.98348,0.94898,0.97437,0.71795,1.04141,0.36654,1.03527,0.001486,0.001486,0.001486
88,16033.4,0.93271,0.39068,0.99895,0.98681,0.94487,0.97371,0.71654,1.04318,0.36733,1.03463,0.001387,0.001387,0.001387
89,16221,0.93412,0.38875,0.99991,0.98904,0.94555,0.97504,0.71837,1.04369,0.36774,1.03552,0.001288,0.001288,0.001288
90,16408.7,0.9349,0.39029,0.9984,0.98548,0.94624,0.97351,0.71799,1.04273,0.36675,1.03407,0.001189,0.001189,0.001189
91,16596,0.92549,0.3553,1.0023,0.9881,0.94534,0.97614,0.71696,1.04289,0.36821,1.03408,0.00109,0.00109,0.00109
92,16780.7,0.91242,0.35041,1.00046,0.98409,0.9467,0.9751,0.71678,1.04216,0.36853,1.03478,0.000991,0.000991,0.000991
93,16965.3,0.9055,0.34847,0.99154,0.98256,0.94959,0.97551,0.71779,1.04302,0.36958,1.03433,0.000892,0.000892,0.000892
94,17149.8,0.90075,0.34583,0.99146,0.98327,0.94806,0.97481,0.71871,1.04222,0.36936,1.03316,0.000793,0.000793,0.000793
95,17336.1,0.89495,0.34288,0.98929,0.982,0.94852,0.97476,0.71972,1.04112,0.37045,1.03185,0.000694,0.000694,0.000694
96,17523.1,0.88962,0.33738,0.98406,0.98483,0.9466,0.97481,0.72023,1.04055,0.36979,1.03146,0.000595,0.000595,0.000595
97,17714.3,0.88612,0.33553,0.98605,0.98576,0.94615,0.97525,0.72074,1.0415,0.3705,1.0326,0.000496,0.000496,0.000496
98,17905.3,0.88569,0.33279,0.98958,0.98578,0.94724,0.97484,0.72015,1.04204,0.37041,1.03347,0.000397,0.000397,0.000397
99,18095.1,0.87943,0.33045,0.98564,0.9853,0.94636,0.97476,0.72068,1.04245,0.37062,1.03427,0.000298,0.000298,0.000298
100,18281,0.87783,0.32711,0.98676,0.98553,0.94624,0.97436,0.72006,1.04251,0.37064,1.03467,0.000199,0.000199,0.000199
